"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dev_acc","dev_close_acc","dev_loss","dyck_D","dyck_k","embedding_dim","embedding_type","epoch","hidden_dim","lm_type","num_heads","num_layers","save_path","test_acc","test_close_acc","train_acc","train_close_acc","train_loss","test20_close_acc"
"dyck_lr0.001_k8_m10_nlayer2_nhidden30_mamba","finished","-","","","2024-05-14T03:59:56.000Z","80168","","0.9986786540608468","0.9986786540608468","1.645733252258378","10","8","26","mamba","19","30","mamba","1","2","lm.params","0.993286059778716","0.993286059778716","0.998691829572096","0.998691829572096","1.6472291109337107","0.655900563813429"
"dyck_lr0.001_k8_m10_nlayer2_nhidden90_mamba","finished","-","","","2024-05-14T04:01:58.000Z","38985","","0.9983550591369724","0.9983550591369724","1.646667360534049","10","8","26","mamba","19","90","mamba","1","2","lm.params","0.986713266088598","0.986713266088598","0.9984453001347552","0.9984453001347552","1.6435516813728408","0.6574566888774988"
"dyck_lr0.001_k8_m10_nlayer2_nhidden70_mamba","finished","-","","","2024-05-14T03:54:45.000Z","18042","","0.9983119131471224","0.9983119131471224","1.6464906693955703","10","8","26","mamba","19","70","mamba","1","2","lm.params","0.98213443048428","0.98213443048428","0.9985569666413844","0.9985569666413844","1.6447320028813397","0.6426294208098411"
"dyck_lr0.001_k8_m10_nlayer2_nhidden100_mamba","finished","-","","","2024-05-13T22:11:47.000Z","13889","","0.9982094414212288","0.9982094414212288","1.6471598061296568","10","8","26","mamba","14","100","mamba","1","2","lm.params","0.9840441219843096","0.9840441219843096","0.9982413873835188","0.9982413873835188","1.6449127027558803","0.6076617119425936"
"dyck_lr0.001_k8_m10_nlayer2_nhidden60_mamba","finished","-","","","2024-05-14T03:56:14.000Z","17866","","0.9981609021826476","0.9981609021826476","1.6462708752730797","10","8","26","mamba","19","60","mamba","1","2","lm.params","0.9905610890613544","0.9905610890613544","0.9984976269518712","0.9984976269518712","1.6450512973924287","0.6433951819579703"
"dyck_lr0.001_k8_m10_nlayer2_nhidden50_mamba","finished","-","","","2024-05-14T03:56:14.000Z","42275","","0.9970283199490876","0.9970283199490876","1.6466608465805983","10","8","26","mamba","19","50","mamba","1","2","lm.params","0.9827548432220172","0.9827548432220172","0.9974100922786115","0.9974100922786115","1.6463689375908783","0.6603464889800102"
"dyck_lr0.001_k8_m10_nlayer2_nhidden80_mamba","finished","-","","","2024-05-14T03:56:27.000Z","42291","","0.9969797807105066","0.9969797807105066","1.6480668853310978","10","8","26","mamba","19","80","mamba","1","2","lm.params","0.9835185091555644","0.9835185091555644","0.9972811633168512","0.9972811633168512","1.645078915983018","0.6358523833931318"
"dyck_lr0.001_k8_m10_nlayer2_nhidden40_mamba","finished","-","","","2024-05-14T03:59:07.000Z","61206","","0.9959388837053776","0.9959388837053776","1.648013093650462","10","8","26","mamba","19","40","mamba","1","2","lm.params","0.9766149691162964","0.9766149691162964","0.9961887735780862","0.9961887735780862","1.6485986492096902","0.6138298308559713"
"dyck_lr0.001_k8_m10_nlayer2_nhidden20_mamba","finished","-","","","2024-05-14T03:54:50.000Z","17321","","0.9904863092380958","0.9904863092380958","1.6568096779422876","10","8","26","mamba","19","20","mamba","1","2","lm.params","0.9760577563178872","0.9760577563178872","0.9912376856657968","0.9912376856657968","1.6579766673382428","0.6292834443874936"
"dyck_lr0.0001_k8_m10_nlayer1_nhidden90_mamba","finished","-","","","2024-05-13T13:40:59.000Z","13829","","0.7971275557257426","0.7971275557257426","1.7895176725020032","10","8","26","mamba","14","90","mamba","1","1","lm.params","0.7778953998870828","0.7778953998870828","0.7980362878384925","0.7980362878384925","1.7908955253348269","0.6117016914402871"
"dyck_lr0.0001_k8_m10_nlayer1_nhidden100_mamba","finished","-","","","2024-05-13T13:40:59.000Z","13394","","0.7920686884158411","0.7920686884158411","1.7953571695343231","10","8","26","mamba","14","100","mamba","1","1","lm.params","0.7681973691971923","0.7681973691971923","0.792898549630098","0.792898549630098","1.7942862924219616","0.6035704766786264"
