"Step","run - val_sparse_accuracy","run - val_sparse_accuracy__MIN","run - val_sparse_accuracy__MAX"
"0","0","0","0"
"2","0","0","0"
"4","0","0","0"
"6","0","0","0"
"8","0","0","0"
"10","0","0","0"
"12","0","0","0"
"14","0","0","0"
"16","0","0","0"
"18","0","0","0"
"20","0","0","0"
"22","0","0","0"
"24","0","0","0"
"26","0","0","0"
"28","0","0","0"
"30","0","0","0"
"32","0","0","0"
"34","0","0","0"
"36","0","0","0"
"38","0","0","0"
"40","0","0","0"
"42","0","0","0"
"44","0","0","0"
"46","0","0","0"
"48","0","0","0"
"50","0","0","0"
"52","0","0","0"
"54","0","0","0"
"56","0","0","0"
"58","0.6","0.6","0.6"
"60","1.7","1.7","1.7"
"62","14.1","14.1","14.1"
"64","19.4","19.4","19.4"
"66","28.2","28.2","28.2"
"68","29.1","29.1","29.1"
"70","29.2","29.2","29.2"
"72","29.2","29.2","29.2"
"74","29.2","29.2","29.2"
"76","29.2","29.2","29.2"
"78","29.2","29.2","29.2"
"80","29.2","29.2","29.2"
"82","29.2","29.2","29.2"
"84","29.2","29.2","29.2"
"86","29.2","29.2","29.2"
"88","29.2","29.2","29.2"
"90","29.2","29.2","29.2"
"92","29.2","29.2","29.2"
"94","29.2","29.2","29.2"
"96","29.2","29.2","29.2"
"98","29.2","29.2","29.2"
"100","29.2","29.2","29.2"
"102","29.2","29.2","29.2"
"104","29.2","29.2","29.2"
"106","29.2","29.2","29.2"
"108","29.2","29.2","29.2"
"110","29.2","29.2","29.2"
"112","29.2","29.2","29.2"
"114","29.2","29.2","29.2"
"116","29.2","29.2","29.2"
"118","29.2","29.2","29.2"
"120","29.2","29.2","29.2"
"122","29.2","29.2","29.2"
"124","29.2","29.2","29.2"
"126","29.2","29.2","29.2"
"128","29.2","29.2","29.2"
"130","29.2","29.2","29.2"
"132","29.2","29.2","29.2"
"134","29.2","29.2","29.2"
"136","29.2","29.2","29.2"
"138","29.2","29.2","29.2"
"140","29.2","29.2","29.2"
"142","29.2","29.2","29.2"
"144","29.2","29.2","29.2"
"146","29.2","29.2","29.2"
"148","29.2","29.2","29.2"
"150","29.2","29.2","29.2"
"152","29.2","29.2","29.2"
"154","29.2","29.2","29.2"
"156","29.2","29.2","29.2"
"158","29.2","29.2","29.2"
"160","29.2","29.2","29.2"
"162","29.2","29.2","29.2"
"164","29.2","29.2","29.2"
"166","29.2","29.2","29.2"
"168","29.2","29.2","29.2"
"170","29.2","29.2","29.2"
"172","29.2","29.2","29.2"
"174","29.2","29.2","29.2"
"176","29.2","29.2","29.2"
"178","29.2","29.2","29.2"
"180","29.2","29.2","29.2"
"182","29.2","29.2","29.2"
"184","29.2","29.2","29.2"
"186","29.2","29.2","29.2"
"188","29.2","29.2","29.2"
"190","29.1","29.1","29.1"
"192","29.1","29.1","29.1"
"194","28.9","28.9","28.9"
"196","28.9","28.9","28.9"
"198","29","29","29"
"200","28.7","28.7","28.7"
"202","26.8","26.8","26.8"
"204","25.1","25.1","25.1"
"206","26.9","26.9","26.9"
"208","24","24","24"
"210","18.9","18.9","18.9"
"212","19.1","19.1","19.1"
"214","17","17","17"
"216","17.3","17.3","17.3"
"218","15.6","15.6","15.6"
"220","14.1","14.1","14.1"
"222","16.1","16.1","16.1"
"224","19.9","19.9","19.9"
"226","21.9","21.9","21.9"
"228","24","24","24"
"230","19.5","19.5","19.5"
"232","15.2","15.2","15.2"
"234","17.3","17.3","17.3"
"236","14.1","14.1","14.1"
"238","14.8","14.8","14.8"
"240","16.5","16.5","16.5"
"242","15.5","15.5","15.5"
"244","14.6","14.6","14.6"
"246","16.8","16.8","16.8"
"248","15.1","15.1","15.1"
"250","14.1","14.1","14.1"
"252","13.5","13.5","13.5"
"254","18.9","18.9","18.9"
"256","14.7","14.7","14.7"
"258","18.7","18.7","18.7"
"260","13.8","13.8","13.8"
"262","14.3","14.3","14.3"
"264","13.7","13.7","13.7"
"266","16.6","16.6","16.6"
"268","16","16","16"
"270","16","16","16"
"272","14.2","14.2","14.2"
"274","14.9","14.9","14.9"
"276","20.1","20.1","20.1"
"278","19.9","19.9","19.9"
"280","18.2","18.2","18.2"
"282","18.1","18.1","18.1"
"284","16.6","16.6","16.6"
"286","14.2","14.2","14.2"
"288","13.7","13.7","13.7"
"290","18.1","18.1","18.1"
"292","16.3","16.3","16.3"
"294","21.8","21.8","21.8"
"296","20.9","20.9","20.9"
"298","21.2","21.2","21.2"
"300","20.7","20.7","20.7"
"302","21.2","21.2","21.2"
"304","18.5","18.5","18.5"
"306","20.9","20.9","20.9"
